genome_id,genome_name,label_count,selection_rank
1280.51805,Staphylococcus aureus 14-00490,5,146be23eb03e3db1c71bcaf1178bed02bd99e6e24bcda0732fc403ed5341808e
1280.9245,Staphylococcus aureus 069_05,5,147c0f08685b6c179b3ddd14540170743577c96b9af046a922888991dcb7e261
1280.9976,Staphylococcus aureus C00013177,5,14c2455e47ddb57e8931b3cf93b00cbcffaf5754cce433ffe038010c4a16d9ec
1280.51939,Staphylococcus aureus 09-01718,5,14e3d5c69e2f38026f0114a998cfa96e37fafdb996e16a578a6dbfd4dcbd870f
1280.8767,Staphylococcus aureus C00008958,5,14f357a6925d967ab1691f6588b153fca792cf3b307c017d544d96d8798d73e5
1280.59565,Staphylococcus aureus CFSA17SA095,5,14f783370e0bf4fb8cefac581f519450432eea32f50a03e1d974724bfd61a4d2
1280.15902,Staphylococcus aureus strain W47_060515,5,15312715ea5f7597a03e4bcfb7ef67efd743e34534c272d9df9132661a4762d6
1280.51791,Staphylococcus aureus 14-03171,5,155b5d36984c1f7df36749d293d5419e007c67d4c0fb6a28c90187f52fc93750
1280.9369,Staphylococcus aureus WAU_12,5,156bbdae15fe598b3bf92e468171b04b787cd3a0ea9d1502d9fee81caef42860
1280.9250,Staphylococcus aureus 085_03,5,15ae1be217806bbe5ac36372e97a6dac1b59d0e2718792179d9bc38293ab67ed
1280.8117,Staphylococcus aureus C00012787,5,1613fd16bb731aa4dd2e07922586dc7786cba198072764dff4cabac7c8960c91
1280.9973,Staphylococcus aureus C00013173,5,162467d8137380724e43dece3a222bd36f66f167ca49eb981ea1fe81d813f652
1280.51869,Staphylococcus aureus 12-01739,5,16420298948f4d1d835b854f25a3e8fcffe91e05015059eb558380bd09fd8daa
1280.59510,Staphylococcus aureus CLSA51,5,164512775a39f3cbca0db842fab2489a019a653c3acf3caea67f2dc0465580a8
1280.9741,Staphylococcus aureus C00002656,5,1673a8a0de5470dcc450b45ec5c1f699823cc88457408659cab89d643c54b6b7
